message_id,date,sender_id,message,media_path,youtube_link
12343,2024-10-08 12:18:47+00:00,-1001666492664,"salted mixed nuts 
price 3600 birr 
telegram 
msg lobelia pharmacy and cosmetics 
 call 09115620310911587703
adress infront of bole medhanialem high school 
open monday  monday from 8am until midnight ከሰኞ  እስከ ሰኞ  ከጧቱ 200 ስዓት  እስከ ምሽቱ 600 ሰዓት
 የትራንስፖርት አማራጭ ከ70  200 ብር
for delivery option fees are from 70 birr  200 birr",raw/media/12343.jpg,
12342,2024-10-08 12:18:47+00:00,-1001666492664,"unsalted cashews
price 3600 birr 
telegram 
msg lobelia pharmacy and cosmetics 
 call 09115620310911587703
adress infront of bole medhanialem high school 
open monday  monday from 8am until midnight ከሰኞ  እስከ ሰኞ  ከጧቱ 200 ስዓት  እስከ ምሽቱ 600 ሰዓት
 የትራንስፖርት አማራጭ ከ70  200 ብር
for delivery option fees are from 70 birr  200 birr",raw/media/12342.jpg,
12341,2024-10-08 12:18:47+00:00,-1001666492664,,raw/media/12341.jpg,
12340,2024-10-08 12:18:47+00:00,-1001666492664,"suave kids wash 
price 3200 birr 
telegram 
msg lobelia pharmacy and cosmetics 
 call 09115620310911587703
adress infront of bole medhanialem high school 
open monday  monday from 8am until midnight ከሰኞ  እስከ ሰኞ  ከጧቱ 200 ስዓት  እስከ ምሽቱ 600 ሰዓት
 የትራንስፖርት አማራጭ ከ70  200 ብር
for delivery option fees are from 70 birr  200 birr",raw/media/12340.jpg,
12339,2024-10-08 12:18:47+00:00,-1001666492664,"quaker oats 
price 5000 birr 
telegram 
msg lobelia pharmacy and cosmetics 
 call 09115620310911587703
adress infront of bole medhanialem high school 
open monday  monday from 8am until midnight ከሰኞ  እስከ ሰኞ  ከጧቱ 200 ስዓት  እስከ ምሽቱ 600 ሰዓት
 የትራንስፖርት አማራጭ ከ70  200 ብር
for delivery option fees are from 70 birr  200 birr",raw/media/12339.jpg,
12338,2024-10-08 12:18:47+00:00,-1001666492664,"nido usa 22kg
price 5900 birr 
telegram 
msg lobelia pharmacy and cosmetics 
 call 09115620310911587703
adress infront of bole medhanialem high school 
open monday  monday from 8am until midnight ከሰኞ  እስከ ሰኞ  ከጧቱ 200 ስዓት  እስከ ምሽቱ 600 ሰዓት
 የትራንስፖርት አማራጭ ከ70  200 ብር
for delivery option fees are from 70 birr  200 birr",raw/media/12338.jpg,
12336,2024-10-08 12:18:47+00:00,-1001666492664,"cheerios 
price 2800
telegram 
msg lobelia pharmacy and cosmetics 
 call 09115620310911587703
adress infront of bole medhanialem high school 
open monday  monday from 8am until midnight ከሰኞ  እስከ ሰኞ  ከጧቱ 200 ስዓት  እስከ ምሽቱ 600 ሰዓት
 የትራንስፖርት አማራጭ ከ70  200 ብር
for delivery option fees are from 70 birr  200 birr",raw/media/12336.jpg,
12335,2024-10-08 12:18:47+00:00,-1001666492664,"nido usa 22kg
price 5900 birr 
telegram 
msg lobelia pharmacy and cosmetics 
 call 09115620310911587703
adress infront of bole medhanialem high school 
open monday  monday from 8am until midnight ከሰኞ  እስከ ሰኞ  ከጧቱ 200 ስዓት  እስከ ምሽቱ 600 ሰዓት
 የትራንስፖርት አማራጭ ከ70  200 ብር
for delivery option fees are from 70 birr  200 birr",raw/media/12335.jpg,
12334,2024-10-08 12:18:47+00:00,-1001666492664,"ensure 850gm
price 3800 birr 
telegram 
msg lobelia pharmacy and cosmetics 
 call 09115620310911587703
adress infront of bole medhanialem high school 
open monday  monday from 8am until midnight ከሰኞ  እስከ ሰኞ  ከጧቱ 200 ስዓት  እስከ ምሽቱ 600 ሰዓት
 የትራንስፖርት አማራጭ ከ70  200 ብር
for delivery option fees are from 70 birr  200 birr",raw/media/12334.jpg,
12333,2024-10-08 12:18:46+00:00,-1001666492664,"similac advance 
price 3700 birr 
telegram 
msg lobelia pharmacy and cosmetics 
 call 09115620310911587703
adress infront of bole medhanialem high school 
open monday  monday from 8am until midnight ከሰኞ  እስከ ሰኞ  ከጧቱ 200 ስዓት  እስከ ምሽቱ 600 ሰዓት
 የትራንስፖርት አማራጭ ከ70  200 ብር
for delivery option fees are from 70 birr  200 birr",raw/media/12333.jpg,
12332,2024-10-08 12:18:46+00:00,-1001666492664,"honey bunches 
price 2800
telegram 
msg lobelia pharmacy and cosmetics 
 call 09115620310911587703
adress infront of bole medhanialem high school 
open monday  monday from 8am until midnight ከሰኞ  እስከ ሰኞ  ከጧቱ 200 ስዓት  እስከ ምሽቱ 600 ሰዓት
 የትራንስፖርት አማራጭ ከ70  200 ብር
for delivery option fees are from 70 birr  200 birr",raw/media/12332.jpg,
12331,2024-10-08 04:36:00+00:00,-1001666492664,"baby d drops 
price 3500 birr 
telegram 
msg lobelia pharmacy and cosmetics 
 call 09115620310911587703
adress infront of bole medhanialem high school 
open monday  monday from 8am until midnight ከሰኞ  እስከ ሰኞ  ከጧቱ 200 ስዓት  እስከ ምሽቱ 600 ሰዓት
 የትራንስፖርት አማራጭ ከ70  200 ብር
for delivery option fees are from 70 birr  200 birr",raw/media/12331.jpg,
12330,2024-10-08 04:36:00+00:00,-1001666492664,"mini drops bed time 
price 2800 birr 
telegram 
msg lobelia pharmacy and cosmetics 
 call 09115620310911587703
adress infront of bole medhanialem high school 
open monday  monday from 8am until midnight ከሰኞ  እስከ ሰኞ  ከጧቱ 200 ስዓት  እስከ ምሽቱ 600 ሰዓት
 የትራንስፖርት አማራጭ ከ70  200 ብር
for delivery option fees are from 70 birr  200 birr",raw/media/12330.jpg,
12329,2024-10-08 04:36:00+00:00,-1001666492664,"mini drops immune plus 
price 2800 birr 
telegram 
msg lobelia pharmacy and cosmetics 
 call 09115620310911587703
adress infront of bole medhanialem high school 
open monday  monday from 8am until midnight ከሰኞ  እስከ ሰኞ  ከጧቱ 200 ስዓት  እስከ ምሽቱ 600 ሰዓት
 የትራንስፖርት አማራጭ ከ70  200 ብር
for delivery option fees are from 70 birr  200 birr",raw/media/12329.jpg,
12328,2024-10-08 04:36:00+00:00,-1001666492664,"iron drop 
price 3500 birr 
telegram 
msg lobelia pharmacy and cosmetics 
 call 09115620310911587703
adress infront of bole medhanialem high school 
open monday  monday from 8am until midnight ከሰኞ  እስከ ሰኞ  ከጧቱ 200 ስዓት  እስከ ምሽቱ 600 ሰዓት
 የትራንስፖርት አማራጭ ከ70  200 ብር
for delivery option fees are from 70 birr  200 birr",raw/media/12328.jpg,
12327,2024-10-08 04:36:00+00:00,-1001666492664,"well babay vitamin d drop 400 iu
price 3000 birr 
telegram 
msg lobelia pharmacy and cosmetics 
 call 09115620310911587703
adress infront of bole medhanialem high school 
open monday  monday from 8am until midnight ከሰኞ  እስከ ሰኞ  ከጧቱ 200 ስዓት  እስከ ምሽቱ 600 ሰዓት
 የትራንስፖርት አማራጭ ከ70  200 ብር
for delivery option fees are from 70 birr  200 birr",raw/media/12327.jpg,
12326,2024-10-08 04:36:00+00:00,-1001666492664,"pediasure 3
price 5000 birr 
telegram 
msg lobelia pharmacy and cosmetics 
 call 09115620310911587703
adress infront of bole medhanialem high school 
open monday  monday from 8am until midnight ከሰኞ  እስከ ሰኞ  ከጧቱ 200 ስዓት  እስከ ምሽቱ 600 ሰዓት
 የትራንስፖርት አማራጭ ከ70  200 ብር
for delivery option fees are from 70 birr  200 birr",raw/media/12326.jpg,
12325,2024-10-08 04:35:59+00:00,-1001666492664,"fish oil 150 softgels 
price 4000 birr 
telegram 
msg lobelia pharmacy and cosmetics 
 call 09115620310911587703
adress infront of bole medhanialem high school 
open monday  monday from 8am until midnight ከሰኞ  እስከ ሰኞ  ከጧቱ 200 ስዓት  እስከ ምሽቱ 600 ሰዓት
 የትራንስፖርት አማራጭ ከ70  200 ብር
for delivery option fees are from 70 birr  200 birr",raw/media/12325.jpg,
12324,2024-10-08 04:35:59+00:00,-1001666492664,"centrum men 50
price 5700 birr 
telegram 
msg lobelia pharmacy and cosmetics 
 call 09115620310911587703
adress infront of bole medhanialem high school 
open monday  monday from 8am until midnight ከሰኞ  እስከ ሰኞ  ከጧቱ 200 ስዓት  እስከ ምሽቱ 600 ሰዓት
 የትራንስፖርት አማራጭ ከ70  200 ብር
for delivery option fees are from 70 birr  200 birr",raw/media/12324.jpg,
12323,2024-10-08 04:35:59+00:00,-1001666492664,"postnatal 60 softgels 
price 6500 birr 
telegram 
msg lobelia pharmacy and cosmetics 
 call 09115620310911587703
adress infront of bole medhanialem high school 
open monday  monday from 8am until midnight ከሰኞ  እስከ ሰኞ  ከጧቱ 200 ስዓት  እስከ ምሽቱ 600 ሰዓት
 የትራንስፖርት አማራጭ ከ70  200 ብር
for delivery option fees are from 70 birr  200 birr",raw/media/12323.jpg,
12322,2024-10-08 04:35:59+00:00,-1001666492664,"glycolic acid 
price 4000 birr 
telegram 
msg lobelia pharmacy and cosmetics 
 call 09115620310911587703
adress infront of bole medhanialem high school 
open monday  monday from 8am until midnight ከሰኞ  እስከ ሰኞ  ከጧቱ 200 ስዓት  እስከ ምሽቱ 600 ሰዓት
 የትራንስፖርት አማራጭ ከ70  200 ብር
for delivery option fees are from 70 birr  200 birr",raw/media/12322.jpg,
